Date_of_update|Council_ID|LEP_NSI_zone|LEP_SI_zone|LEP_name
20130311  |11580||R2|R2 Low Density Residential
20130311  |11600||R2|R2 Low Density Residential
20130311  |11610||E3|Zone E3  Environmental Management
20130311  |11611||E3|Zone E3  Environmental Management
20130311  |11620||R2|R2 Low Density Residential
20130311  |11621||R2|R2 Low Density Residential
20130311  |11630||R2|R2 Low Density Residential
20130311  |11640||R2|R2 Low Density Residential
20130311  |11650||R2|R2 Low Density Residential
20130311  |11660||R2|R2 Low Density Residential
20130311  |11670||R2|R2 Low Density Residential
20130311  |11671||R2|R2 Low Density Residential
20130311  |11680||R2|R2 Low Density Residential
20130311  |11690||R2|R2 Low Density Residential
20130311  |11700||R2|R2 Low Density Residential
20130311  |11710||R2|R2 Low Density Residential
20130311  |11720||R2|R2 Low Density Residential
20130311  |11730||E3|Zone E3  Environmental Management
20130311  |11740||R2|R2 Low Density Residential
20130311  |11750||R2|R2 Low Density Residential
20130311  |11760||R2|R2 Low Density Residential
20130311  |11770||R2|R2 Low Density Residential
20130311  |11780||R2|R2 Low Density Residential
20130311  |11790||R2|R2 Low Density Residential
20130311  |11800||R2|R2 Low Density Residential
20130311  |11810||R2|R2 Low Density Residential
20130311  |11820||R2|R2 Low Density Residential
20130311  |11821||R2|R2 Low Density Residential
20130311  |11830||R2|R2 Low Density Residential
20130311  |11840||R2|R2 Low Density Residential
20130311  |11850||E3|Zone E3  Environmental Management
20130311  |11862||RU2|RU2 Rural Landscape
20130311  |11870||R2|R2 Low Density Residential
20130311  |11880||R2|R2 Low Density Residential
20130311  |11890||R2|R2 Low Density Residential
20130311  |11900||R2|R2 Low Density Residential
20130311  |11910||R2|R2 Low Density Residential
20130311  |11920||R2|R2 Low Density Residential
20130311  |11930||R2|R2 Low Density Residential
20130311  |11940||R2|R2 Low Density Residential
20130311  |11950||R2|R2 Low Density Residential
20130311  |11970||R2|R2 Low Density Residential
20130311  |11980||R2|R2 Low Density Residential
20130311  |11990||R2|R2 Low Density Residential
20130311  |12000||R2|R2 Low Density Residential
20130311  |12010||R2|R2 Low Density Residential
20130311  |12020||R2|R2 Low Density Residential
20130311  |12030||E3|Zone E3  Environmental Management
20130311  |12040||R2|R2 Low Density Residential
20130311  |12050||RU2|RU2 Rural Landscape
20130311  |12060||R2|R2 Low Density Residential
20130311  |12070||R2|R2 Low Density Residential
20130311  |12080||R2|R2 Low Density Residential
20130311  |12090||R2|R2 Low Density Residential
20130311  |12100||R2|R2 Low Density Residential
20130311  |12110||R2|R2 Low Density Residential
